勤務地（都道府県）,人気のキーワード,人気の市区町村,人気の職種（検索2）,人気の雇用形態（検索3）,人気のこだわり条件
不明 / 複数選択時,"○○○,△△△,□□□,××××",,,,
北海道,"○○○,△△△,××××","1,101","5,6,7","22,30,77",44
青森県,"△△△,××××,※※※※","1,101","5,6,7","22,30,77",44
岩手県,"○○○,△△△,□□□,××××","1,101","5,6,7","22,30,77",44
宮城県,"○○○,△△△,××××","1,101","5,6,7","22,30,77",44
秋田県,"△△△,××××,※※※※","1,101","5,6,7","22,30,77",44
山形県,"○○○,△△△,□□□,××××","1,101","5,6,7","22,30,77",44
福島県,"○○○,△△△,××××","1,101","5,6,7","22,30,77",44
茨城県,"○○○,△△△,□□□,××××","1,101","5,6,7","22,30,77",44
栃木県,"○○○,△△△,××××","1,101","5,6,7","22,30,77",44
群馬県,"△△△,××××,※※※※","1,101","5,6,7","22,30,77",44
埼玉県,"○○○,△△△,□□□,××××","1,101","5,6,7","22,30,77",44
千葉県,"○○○,△△△,××××","1,101","5,6,7","22,30,77",44
東京都,"△△△,××××,※※※※","1,101","5,6,7","22,30,77",44
神奈川県,"○○○,△△△,□□□,××××","1,101","5,6,7","22,30,77",44
山梨県,"○○○,△△△,××××","1,101","5,6,7","22,30,77",44
新潟県,"○○○,△△△,□□□,××××","1,101","5,6,7","22,30,77",44
富山県,"○○○,△△△,××××","1,101","5,6,7","22,30,77",44
石川県,"△△△,××××,※※※※","1,101","5,6,7","22,30,77",44
福井県,"○○○,△△△,□□□,××××","1,101","5,6,7","22,30,77",44
長野県,"○○○,△△△,××××","1,101","5,6,7","22,30,77",44
岐阜県,"○○○,△△△,□□□,××××","1,101","5,6,7","22,30,77",44
静岡県,"○○○,△△△,××××","1,101","5,6,7","22,30,77",44
愛知県,"△△△,××××,※※※※","1,101","5,6,7","22,30,77",44
三重県,"○○○,△△△,□□□,××××","1,101","5,6,7","22,30,77",44
滋賀県,"△△△,××××,※※※※","1,101","5,6,7","22,30,77",44
京都府,"○○○,△△△,□□□,××××","1,101","5,6,7","22,30,77",44
大阪府,"○○○,△△△,××××","1,101","5,6,7","22,30,77",44
兵庫県,"△△△,××××,※※※※","1,101","5,6,7","22,30,77",44
奈良県,"○○○,△△△,□□□,××××","1,101","5,6,7","22,30,77",44
和歌山県,"○○○,△△△,××××","1,101","5,6,7","22,30,77",44
鳥取県,"○○○,△△△,□□□,××××","1,101","5,6,7","22,30,77",44
島根県,"○○○,△△△,××××","1,101","5,6,7","22,30,77",44
岡山県,"△△△,××××,※※※※","1,101","5,6,7","22,30,77",44
広島県,"○○○,△△△,□□□,××××","1,101","5,6,7","22,30,77",44
山口県,"○○○,△△△,××××","1,101","5,6,7","22,30,77",44
徳島県,"○○○,△△△,□□□,××××","1,101","5,6,7","22,30,77",44
香川県,"○○○,△△△,××××","1,101","5,6,7","22,30,77",44
愛媛県,"△△△,××××,※※※※","1,101","5,6,7","22,30,77",44
高知県,"○○○,△△△,□□□,××××","1,101","5,6,7","22,30,77",44
福岡県,"△△△,××××,※※※※","1,101","5,6,7","22,30,77",44
佐賀県,"○○○,△△△,□□□,××××","1,101","5,6,7","22,30,77",44
長崎県,"○○○,△△△,××××","1,101","5,6,7","22,30,77",44
熊本県,"△△△,××××,※※※※","1,101","5,6,7","22,30,77",44
大分県,"○○○,△△△,□□□,××××","1,101","5,6,7","22,30,77",44
宮崎県,"○○○,△△△,××××","1,101","5,6,7","22,30,77",44
鹿児島県,"△△△,××××,※※※※","1,101","5,6,7","22,30,77",44
沖縄県,"○○○,△△△,□□□,××××","1,101","5,6,7","22,30,77",44
,,,,,
↑ こちらの数は「固定」,,,,,